   Vtrue_ktas ,   AMprs_inHG ,   AMtmp_degC ,   alpha__deg ,   curnt___lb 
221.35275,17.09739,-12.65797,0.72991,29843.2207
221.48204,17.0974,-12.65791,0.7256,29842.74414
221.59818,17.09742,-12.65786,0.72179,29842.26953
221.48911,17.09743,-12.65782,0.72863,29841.8418
221.20581,17.09748,-12.65769,0.73277,29841.46875
220.93053,17.09764,-12.65724,0.74861,29841.10156
220.66652,17.0979,-12.65648,0.76811,29840.73047
220.40842,17.09822,-12.65555,0.78588,29840.36133
220.15231,17.09855,-12.6546,0.80064,29839.99219
219.89977,17.09885,-12.65373,0.81248,29839.62109
219.64146,17.09911,-12.65297,0.82227,29839.25391
219.38374,17.09933,-12.65233,0.83078,29838.88281
219.12367,17.09951,-12.65181,0.83901,29838.51562
218.86948,17.09966,-12.65138,0.84642,29838.14453
218.61098,17.09978,-12.65102,0.8553,29837.77734
218.35385,17.09988,-12.65072,0.86402,29837.40625
218.09857,17.09998,-12.65046,0.87282,29837.03711
217.85005,17.10006,-12.65022,0.88174,29836.66992
217.59895,17.10013,-12.65002,0.8906,29836.29883
217.35065,17.10019,-12.64984,0.89972,29835.92969
217.10371,17.10024,-12.64969,0.9088,29835.56055
216.85881,17.10029,-12.64955,0.91784,29835.19141
216.61502,17.10033,-12.64942,0.92709,29834.82227
216.43379,17.09838,-12.65507,0.94628,29834.63672
216.24109,17.09844,-12.6549,0.93019,29834.26758
216.09863,17.09852,-12.65467,0.93268,29834.07812
215.87584,17.0987,-12.65416,0.94702,29833.69727
215.6566,17.09891,-12.65354,0.96124,29833.32227
215.43869,17.09914,-12.65288,0.97391,29832.94531
215.22568,17.09935,-12.65228,0.98442,29832.57227
215.00957,17.09953,-12.65176,0.9932,29832.19531
214.79388,17.09967,-12.65134,1.00077,29831.82227
214.59433,17.09978,-12.65103,1.00768,29831.44727
214.3782,17.09987,-12.65077,1.01438,29831.07227
214.17348,17.09994,-12.65057,1.02181,29830.69922
213.95676,17.1,-12.65039,1.02957,29830.31641
213.74356,17.10005,-12.65025,1.03717,29829.93555
213.53117,17.10009,-12.65012,1.04525,29829.55859
213.32028,17.10013,-12.65001,1.05357,29829.18359
213.11034,17.10016,-12.64991,1.06171,29828.80859
212.90593,17.10019,-12.64983,1.06941,29828.43945
212.70174,17.10022,-12.64975,1.07775,29828.06641
